
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-17 15:04:01.3839607 1613574241.383960724 1613574241.384064436 -0.000103951, ltcy: 0.18 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:02.3841895 1613574242.384189606 1613574242.384293318 -0.000103951, ltcy: 0.19 us, exec: 0.25 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:03.3844053 1613574243.384405375 1613574243.384509563 -0.000104427, ltcy: 0.13 us, exec: 0.11 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:04.3846647 1613574244.384664774 1613574244.384769201 -0.000104666, ltcy: 0.20 us, exec: 0.20 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:05.3849170 1613574245.384917021 1613574245.385021448 -0.000104666, ltcy: 0.20 us, exec: 0.20 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:06.3851384 1613574246.385138512 1613574246.385243177 -0.000104904, ltcy: 0.19 us, exec: 0.15 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:07.3853631 1613574247.385363102 1613574247.385468006 -0.000105143, ltcy: 0.20 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:08.3855919 1613574248.385591984 1613574248.385697126 -0.000105381, ltcy: 0.16 us, exec: 0.12 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:09.3858293 1613574249.385829449 1613574249.385934591 -0.000105381, ltcy: 0.20 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:10.3860656 1613574250.386065722 1613574250.386171103 -0.000105619, ltcy: 0.20 us, exec: 0.17 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:11.3862992 1613574251.386299372 1613574251.386404991 -0.000105858, ltcy: 0.20 us, exec: 0.22 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:12.3865289 1613574252.386528969 1613574252.386634827 -0.000106096, ltcy: 0.20 us, exec: 0.17 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:13.3868032 1613574253.386803389 1613574253.386909246 -0.000106096, ltcy: 0.21 us, exec: 0.22 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:14.3870363 1613574254.387036324 1613574254.387142420 -0.000106335, ltcy: 0.20 us, exec: 0.18 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:15.3872988 1613574255.387298822 1613574255.387405157 -0.000106573, ltcy: 0.19 us, exec: 0.19 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:16.3875485 1613574256.387548447 1613574256.387655020 -0.000106812, ltcy: 0.20 us, exec: 0.18 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:17.3878056 1613574257.387805700 1613574257.387912512 -0.000107050, ltcy: 0.22 us, exec: 0.23 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:18.3880593 1613574258.388059378 1613574258.388166428 -0.000107288, ltcy: 0.15 us, exec: 0.13 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:19.3882624 1613574259.388262510 1613574259.388370275 -0.000108004, ltcy: 0.13 us, exec: 0.12 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:20.3887708 1613574260.388770819 1613574260.388878345 -0.000107765, ltcy: 0.13 us, exec: 0.12 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:21.3890117 1613574261.389011621 1613574261.389119148 -0.000107765, ltcy: 0.21 us, exec: 0.24 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:22.3892378 1613574262.389237881 1613574262.389345646 -0.000108004, ltcy: 0.22 us, exec: 0.19 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:23.3895051 1613574263.389505148 1613574263.389613152 -0.000108242, ltcy: 0.18 us, exec: 0.16 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:24.3898522 1613574264.389852285 1613574264.389960289 -0.000108242, ltcy: 0.18 us, exec: 0.18 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:25.3901219 1613574265.390121937 1613574265.390230179 -0.000108480, ltcy: 0.20 us, exec: 0.19 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:26.3903397 1613574266.390339851 1613574266.390448332 -0.000108719, ltcy: 0.15 us, exec: 0.09 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:27.3905824 1613574267.390582561 1613574267.390691519 -0.000109196, ltcy: 0.28 us, exec: 0.17 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:28.3909435 1613574268.390943527 1613574268.391052485 -0.000109196, ltcy: 0.20 us, exec: 0.22 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:29.3911741 1613574269.391174078 1613574269.391283274 -0.000109434, ltcy: 0.17 us, exec: 0.13 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:30.3914182 1613574270.391418219 1613574270.391527414 -0.000109434, ltcy: 0.20 us, exec: 0.24 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:31.3916595 1613574271.391659498 1613574271.391769648 -0.000110388, ltcy: 0.17 us, exec: 0.13 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:32.3919145 1613574272.391914606 1613574272.392024279 -0.000109911, ltcy: 0.20 us, exec: 0.24 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:33.3921630 1613574273.392163038 1613574273.392272711 -0.000109911, ltcy: 0.21 us, exec: 0.20 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:34.3923953 1613574274.392395496 1613574274.392505407 -0.000110149, ltcy: 0.20 us, exec: 0.14 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:35.3926416 1613574275.392641544 1613574275.392751932 -0.000110626, ltcy: 0.19 us, exec: 0.14 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:36.3929219 1613574276.392921925 1613574276.393032312 -0.000110626, ltcy: 0.17 us, exec: 0.14 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:37.3931493 1613574277.393149376 1613574277.393259764 -0.000110626, ltcy: 0.21 us, exec: 0.22 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:38.3934111 1613574278.393411160 1613574278.393522024 -0.000111103, ltcy: 0.18 us, exec: 0.16 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:39.3936417 1613574279.393641710 1613574279.393752575 -0.000111103, ltcy: 0.19 us, exec: 0.16 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:40.3938677 1613574280.393867731 1613574280.393978834 -0.000111341, ltcy: 0.17 us, exec: 0.15 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:41.3940587 1613574281.394058704 1613574281.394170046 -0.000111580, ltcy: 0.26 us, exec: 0.13 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:42.3942975 1613574282.394297600 1613574282.394409657 -0.000112295, ltcy: 0.17 us, exec: 0.11 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:43.3945031 1613574283.394503117 1613574283.394614697 -0.000111818, ltcy: 0.20 us, exec: 0.14 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:44.3947238 1613574284.394723892 1613574284.394835711 -0.000112057, ltcy: 0.18 us, exec: 0.16 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:45.3949355 1613574285.394935608 1613574285.395047426 -0.000112057, ltcy: 0.19 us, exec: 0.15 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:46.3951823 1613574286.395182371 1613574286.395294189 -0.000112295, ltcy: 0.41 us, exec: 0.29 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:47.3954552 1613574287.395455360 1613574287.395567656 -0.000112534, ltcy: 0.16 us, exec: 0.08 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:48.3958905 1613574288.395890474 1613574288.396003008 -0.000112772, ltcy: 0.19 us, exec: 0.14 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:49.3961206 1613574289.396120548 1613574289.396233320 -0.000113010, ltcy: 0.18 us, exec: 0.13 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:50.3964228 1613574290.396422863 1613574290.396535873 -0.000113249, ltcy: 0.17 us, exec: 0.14 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:51.3966561 1613574291.396656036 1613574291.396769047 -0.000113249, ltcy: 0.22 us, exec: 0.19 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:52.3968812 1613574292.396881342 1613574292.396994352 -0.000113249, ltcy: 0.20 us, exec: 0.17 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:53.3971041 1613574293.397104263 1613574293.397217512 -0.000113487, ltcy: 0.19 us, exec: 0.14 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:54.3973319 1613574294.397331953 1613574294.397445440 -0.000113726, ltcy: 0.20 us, exec: 0.17 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:55.3975613 1613574295.397561312 1613574295.397675037 -0.000113964, ltcy: 0.20 us, exec: 0.15 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:56.3978410 1613574296.397840977 1613574296.397955418 -0.000114679, ltcy: 0.20 us, exec: 0.18 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:57.3980589 1613574297.398058891 1613574297.398173094 -0.000114441, ltcy: 0.19 us, exec: 0.14 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:58.3982916 1613574298.398291588 1613574298.398405790 -0.000114441, ltcy: 0.32 us, exec: 0.17 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:59.3985183 1613574299.398518324 1613574299.398632765 -0.000114679, ltcy: 0.17 us, exec: 0.13 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:00.3987311 1613574300.398731232 1613574300.398845673 -0.000114679, ltcy: 0.20 us, exec: 0.18 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:01.3989937 1613574301.398993731 1613574301.399108410 -0.000114918, ltcy: 0.20 us, exec: 0.20 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:02.3992275 1613574302.399227619 1613574302.399342537 -0.000115156, ltcy: 0.20 us, exec: 0.18 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:03.3994992 1613574303.399499178 1613574303.399614334 -0.000115395, ltcy: 0.20 us, exec: 0.18 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:04.3997314 1613574304.399731398 1613574304.399846554 -0.000115395, ltcy: 0.20 us, exec: 0.20 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:05.3999835 1613574305.399983644 1613574305.400098801 -0.000115395, ltcy: 0.20 us, exec: 0.18 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:06.4002549 1613574306.400254965 1613574306.400370359 -0.000115633, ltcy: 0.20 us, exec: 0.20 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:07.4005091 1613574307.400509119 1613574307.400624514 -0.000115871, ltcy: 0.37 us, exec: 0.18 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:08.4007313 1613574308.400731325 1613574308.400847197 -0.000116110, ltcy: 0.18 us, exec: 0.13 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:09.4009498 1613574309.400949717 1613574309.401065826 -0.000116348, ltcy: 0.20 us, exec: 0.17 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:10.4011788 1613574310.401178837 1613574310.401294947 -0.000116348, ltcy: 0.20 us, exec: 0.20 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:11.4014379 1613574311.401437998 1613574311.401554346 -0.000116587, ltcy: 0.20 us, exec: 0.18 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:12.4016764 1613574312.401676416 1613574312.401793480 -0.000117302, ltcy: 0.20 us, exec: 0.17 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:13.4019113 1613574313.401911259 1613574313.402028084 -0.000117064, ltcy: 0.18 us, exec: 0.16 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:14.4021638 1613574314.402163982 1613574314.402280569 -0.000116825, ltcy: 0.18 us, exec: 0.13 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:15.4023784 1613574315.402378559 1613574315.402495384 -0.000117064, ltcy: 0.20 us, exec: 0.17 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:16.4026207 1613574316.402620792 1613574316.402737856 -0.000117302, ltcy: 0.34 us, exec: 0.17 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:17.4028660 1613574317.402866125 1613574317.402983427 -0.000117540, ltcy: 0.20 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:18.4031223 1613574318.403122425 1613574318.403239727 -0.000117540, ltcy: 0.20 us, exec: 0.17 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:19.4033656 1613574319.403365612 1613574319.403483152 -0.000117779, ltcy: 0.20 us, exec: 0.18 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:20.4036473 1613574320.403647423 1613574320.403765202 -0.000118017, ltcy: 0.18 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:21.4039185 1613574321.403918505 1613574321.404036522 -0.000118256, ltcy: 0.18 us, exec: 0.17 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:22.4041836 1613574322.404183626 1613574322.404301643 -0.000118256, ltcy: 0.20 us, exec: 0.17 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:23.4044636 1613574323.404463530 1613574323.404581785 -0.000118494, ltcy: 0.19 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:24.4046897 1613574324.404689789 1613574324.404808044 -0.000118494, ltcy: 0.19 us, exec: 0.15 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:25.4049199 1613574325.404920101 1613574325.405038834 -0.000118971, ltcy: 0.20 us, exec: 0.17 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:26.4051592 1613574326.405159235 1613574326.405277967 -0.000118971, ltcy: 0.20 us, exec: 0.18 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:27.4053629 1613574327.405362844 1613574327.405481815 -0.000119209, ltcy: 0.14 us, exec: 0.13 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:28.4055479 1613574328.405548096 1613574328.405667067 -0.000119209, ltcy: 0.18 us, exec: 0.13 us, limit: 0.17 us, leap: 00 *
