
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-18 15:27:17.0672913 1613662037.067291498 1613662037.078405142 -0.011113644, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:18.0673537 1613662038.067353725 1613662038.078593254 -0.011239529, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:19.0674766 1613662039.067476511 1613662039.078841925 -0.011365414, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:20.0675173 1613662040.067517281 1613662040.079008341 -0.011491060, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:21.0675915 1613662041.067591667 1613662041.079208374 -0.011616707, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:22.0676894 1613662042.067689419 1613662042.079432011 -0.011742830, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:23.0677363 1613662043.067736387 1613662043.079604626 -0.011868238, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:24.0678155 1613662044.067815542 1613662044.079809666 -0.011994362, ltcy: 0.13 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:25.0697704 1613662045.069770575 1613662045.079981327 -0.010210991, ltcy: 0.15 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:26.0764212 1613662046.076421261 1613662046.080190420 -0.003769398, ltcy: 0.15 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:27.0817993 1613662047.081799269 1613662047.080374002 +0.001425028, ltcy: 0.14 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:28.0818968 1613662048.081896782 1613662048.080572367 +0.001324415, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:29.0819597 1613662049.081959724 1613662049.080736399 +0.001223087, ltcy: 0.14 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:30.0820541 1613662050.082054138 1613662050.080931902 +0.001122236, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:31.0821635 1613662051.082163572 1613662051.081142187 +0.001021385, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:32.0823244 1613662052.082324505 1613662052.081404209 +0.000920296, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:33.0823981 1613662053.082398176 1613662053.081578970 +0.000819206, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:34.0825561 1613662054.082556248 1613662054.081837893 +0.000718355, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:35.0827238 1613662055.082723856 1613662055.082106590 +0.000617027, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:36.0828208 1613662056.082820892 1613662056.082304478 +0.000516415, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:37.0829704 1613662057.082970381 1613662057.082555294 +0.000414848, ltcy: 0.14 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:38.0830576 1613662058.083057642 1613662058.082743406 +0.000314236, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:39.0831497 1613662059.083149672 1613662059.082936525 +0.000213146, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:40.0833136 1613662060.083313704 1613662060.083201647 +0.000112057, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:41.0833985 1613662061.083398581 1613662061.083387375 +0.000011206, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:42.0835020 1613662062.083502054 1613662062.083591938 -0.000089884, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:43.0837722 1613662063.083772182 1613662063.083894253 -0.000122070, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:44.0839417 1613662064.083941698 1613662064.084065437 -0.000123739, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:45.0841652 1613662065.084165335 1613662065.084290504 -0.000125170, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:46.0843619 1613662066.084362030 1613662066.084488869 -0.000126839, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:47.0845362 1613662067.084536314 1613662067.084664583 -0.000128508, ltcy: 0.19 us, exec: 0.08 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:48.0847477 1613662068.084747791 1613662068.084877729 -0.000129938, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:49.0849463 1613662069.084946394 1613662069.085078001 -0.000131845, ltcy: 0.14 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:50.0852630 1613662070.085263014 1613662070.085396290 -0.000133276, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:51.0854251 1613662071.085425138 1613662071.085560083 -0.000134945, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:52.0856670 1613662072.085667133 1613662072.085803509 -0.000136375, ltcy: 0.10 us, exec: 0.09 us, limit: 0.05 us, leap: 00
GNS181PEX: 2021-02-18 15:27:53.0860609 1613662073.086061001 1613662073.086199045 -0.000138044, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:54.0862607 1613662074.086260796 1613662074.086400509 -0.000139713, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:55.0864496 1613662075.086449623 1613662075.086591005 -0.000141382, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:56.0866143 1613662076.086614370 1613662076.086757183 -0.000142813, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:57.0867772 1613662077.086777210 1613662077.086921692 -0.000144720, ltcy: 0.14 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:58.0869486 1613662078.086948633 1613662078.087094784 -0.000146389, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:59.0872383 1613662079.087238312 1613662079.087386131 -0.000147820, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
