
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-16 20:15:02.0189615 1613506502.018961430 1613506502.018960953 +0.000000238, ltcy: 0.26 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:03.0192858 1613506503.019285917 1613506503.019284964 +0.000000477, ltcy: 0.57 us, exec: 0.20 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:04.0201556 1613506504.020155668 1613506504.020154953 +0.000000238, ltcy: 0.41 us, exec: 0.46 us, limit: 0.16 us, leap: 00
GNS181PEX: 2021-02-16 20:15:05.0205546 1613506505.020554781 1613506505.020554066 +0.000000477, ltcy: 0.25 us, exec: 0.21 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:06.0208704 1613506506.020870447 1613506506.020869970 +0.000000238, ltcy: 0.26 us, exec: 0.19 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:07.0211271 1613506507.021127224 1613506507.021126986 +0.000000000, ltcy: 0.13 us, exec: 0.08 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:08.0213595 1613506508.021359682 1613506508.021359205 +0.000000238, ltcy: 0.28 us, exec: 0.24 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:09.0216629 1613506509.021662951 1613506509.021662474 +0.000000238, ltcy: 0.27 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:10.0220036 1613506510.022003651 1613506510.022003174 +0.000000238, ltcy: 0.26 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:11.0223085 1613506511.022308588 1613506511.022308111 +0.000000238, ltcy: 0.26 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:12.0225644 1613506512.022564411 1613506512.022563934 +0.000000238, ltcy: 0.27 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:13.0228444 1613506513.022844553 1613506513.022844315 +0.000000000, ltcy: 0.16 us, exec: 0.09 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:14.0230599 1613506514.023060083 1613506514.023060083 -0.000000238, ltcy: 0.12 us, exec: 0.05 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:15.0233191 1613506515.023319244 1613506515.023318529 +0.000000000, ltcy: 0.61 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:16.0236821 1613506516.023682117 1613506516.023681879 +0.000000000, ltcy: 0.26 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:17.0239924 1613506517.023992538 1613506517.023992062 +0.000000238, ltcy: 0.26 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:18.0243142 1613506518.024314165 1613506518.024313927 +0.000000000, ltcy: 0.27 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:19.0245664 1613506519.024566412 1613506519.024566650 -0.000000238, ltcy: 0.11 us, exec: 0.07 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:20.0247963 1613506520.024796486 1613506520.024796009 +0.000000238, ltcy: 0.29 us, exec: 0.25 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:21.0251258 1613506521.025125980 1613506521.025125504 +0.000000238, ltcy: 0.27 us, exec: 0.19 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:22.0255941 1613506522.025593996 1613506522.025593758 +0.000000000, ltcy: 0.27 us, exec: 0.20 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:23.0258556 1613506523.025855780 1613506523.025855541 +0.000000000, ltcy: 0.27 us, exec: 0.24 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:24.0261029 1613506524.026103020 1613506524.026103258 -0.000000238, ltcy: 0.10 us, exec: 0.05 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:25.0263362 1613506525.026336193 1613506525.026336432 -0.000000477, ltcy: 0.15 us, exec: 0.10 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:26.0266213 1613506526.026621342 1613506526.026621103 +0.000000000, ltcy: 0.25 us, exec: 0.21 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:27.0269792 1613506527.026979208 1613506527.026979208 -0.000000238, ltcy: 0.26 us, exec: 0.20 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:28.0272561 1613506528.027256250 1613506528.027256012 +0.000000000, ltcy: 0.27 us, exec: 0.19 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:29.0275368 1613506529.027536869 1613506529.027536631 +0.000000000, ltcy: 0.29 us, exec: 0.22 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:30.0278345 1613506530.027834654 1613506530.027834415 +0.000000000, ltcy: 0.27 us, exec: 0.19 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:31.0280982 1613506531.028098345 1613506531.028098345 -0.000000238, ltcy: 0.16 us, exec: 0.07 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:32.0283313 1613506532.028331280 1613506532.028331280 -0.000000238, ltcy: 0.27 us, exec: 0.23 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:33.0286090 1613506533.028609037 1613506533.028609276 -0.000000477, ltcy: 0.13 us, exec: 0.05 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:34.0288832 1613506534.028883219 1613506534.028883219 -0.000000238, ltcy: 0.25 us, exec: 0.19 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:35.0291992 1613506535.029199362 1613506535.029198885 -0.000000238, ltcy: 0.60 us, exec: 0.21 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:36.0295445 1613506536.029544592 1613506536.029544592 -0.000000238, ltcy: 0.26 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:37.0298331 1613506537.029833078 1613506537.029833317 -0.000000477, ltcy: 0.15 us, exec: 0.10 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:38.0302446 1613506538.030244589 1613506538.030244589 -0.000000238, ltcy: 0.26 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:39.0307382 1613506539.030738354 1613506539.030738115 +0.000000000, ltcy: 0.29 us, exec: 0.25 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:40.0310313 1613506540.031031370 1613506540.031031370 -0.000000238, ltcy: 0.27 us, exec: 0.25 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:41.0313446 1613506541.031344652 1613506541.031344652 -0.000000238, ltcy: 0.25 us, exec: 0.19 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:42.0316273 1613506542.031627417 1613506542.031627655 -0.000000238, ltcy: 0.11 us, exec: 0.04 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:43.0318586 1613506543.031858683 1613506543.031859159 -0.000000477, ltcy: 0.10 us, exec: 0.05 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:44.0321633 1613506544.032163382 1613506544.032163382 -0.000000238, ltcy: 0.28 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:45.0324314 1613506545.032431364 1613506545.032431364 -0.000000238, ltcy: 0.27 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:46.0327446 1613506546.032744646 1613506546.032744646 -0.000000238, ltcy: 0.27 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:47.0330665 1613506547.033066511 1613506547.033066511 -0.000000238, ltcy: 0.26 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:48.0333177 1613506548.033317804 1613506548.033318043 -0.000000238, ltcy: 0.12 us, exec: 0.07 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:49.0335125 1613506549.033512592 1613506549.033512115 -0.000000238, ltcy: 0.64 us, exec: 0.13 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:50.0337814 1613506550.033781528 1613506550.033781290 +0.000000000, ltcy: 0.25 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:51.0341217 1613506551.034121752 1613506551.034121752 -0.000000238, ltcy: 0.29 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:52.0344857 1613506552.034485817 1613506552.034485579 +0.000000000, ltcy: 0.28 us, exec: 0.31 us, limit: 0.17 us, leap: 00
GNS181PEX: 2021-02-16 20:15:53.0351554 1613506553.035155535 1613506553.035155058 +0.000000000, ltcy: 0.58 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:54.0355826 1613506554.035582542 1613506554.035582542 -0.000000238, ltcy: 0.26 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:55.0358416 1613506555.035841703 1613506555.035841942 -0.000000477, ltcy: 0.17 us, exec: 0.11 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:56.0360686 1613506556.036068678 1613506556.036068439 +0.000000000, ltcy: 0.28 us, exec: 0.20 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:57.0363459 1613506557.036345959 1613506557.036345720 +0.000000000, ltcy: 0.30 us, exec: 0.21 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:58.0366294 1613506558.036629438 1613506558.036629438 -0.000000238, ltcy: 0.27 us, exec: 0.20 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:15:59.0368870 1613506559.036886930 1613506559.036886930 -0.000000238, ltcy: 0.29 us, exec: 0.19 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:00.0371588 1613506560.037158966 1613506560.037159204 -0.000000238, ltcy: 0.09 us, exec: 0.05 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:01.0373282 1613506561.037328243 1613506561.037328482 -0.000000477, ltcy: 0.12 us, exec: 0.08 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:02.0375226 1613506562.037522554 1613506562.037523031 -0.000000477, ltcy: 0.10 us, exec: 0.04 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:03.0378204 1613506563.037820339 1613506563.037820339 -0.000000238, ltcy: 0.27 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:04.0381248 1613506564.038124800 1613506564.038124800 -0.000000238, ltcy: 0.26 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:05.0384125 1613506565.038412571 1613506565.038412809 -0.000000238, ltcy: 0.09 us, exec: 0.04 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:06.0385670 1613506566.038567066 1613506566.038567305 -0.000000477, ltcy: 0.15 us, exec: 0.06 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:07.0389226 1613506567.038922548 1613506567.038923025 -0.000000477, ltcy: 0.10 us, exec: 0.04 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:08.0390898 1613506568.039089918 1613506568.039090157 -0.000000238, ltcy: 0.10 us, exec: 0.06 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:09.0394111 1613506569.039411068 1613506569.039411068 -0.000000238, ltcy: 0.28 us, exec: 0.20 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:10.0397141 1613506570.039714098 1613506570.039714098 -0.000000238, ltcy: 0.27 us, exec: 0.17 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:11.0400607 1613506571.040060759 1613506571.040060997 -0.000000238, ltcy: 0.11 us, exec: 0.04 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:12.0402719 1613506572.040271997 1613506572.040272236 -0.000000238, ltcy: 0.09 us, exec: 0.04 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:13.0404624 1613506573.040462494 1613506573.040462732 -0.000000477, ltcy: 0.16 us, exec: 0.09 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-16 20:16:14.0407457 1613506574.040745735 1613506574.040745497 +0.000000000, ltcy: 0.26 us, exec: 0.20 us, limit: 0.14 us, leap: 00 *
