
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-22 07:31:21.2921933 1613979081.292193413 1613979081.291938305 +0.000254869, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:39.3086484 1613979159.308648348 1613979159.308370590 +0.000277758, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:40.3088535 1613979160.308853626 1613979160.308575392 +0.000278234, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:41.3090656 1613979161.309065580 1613979161.308787107 +0.000278473, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:42.3092436 1613979162.309243679 1613979162.308964729 +0.000278950, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:43.3094132 1613979163.309413195 1613979163.309134007 +0.000279188, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:44.3095904 1613979164.309590340 1613979164.309310913 +0.000279427, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:45.3097957 1613979165.309795618 1613979165.309515953 +0.000279427, ltcy: 0.14 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:46.3100043 1613979166.310004473 1613979166.309724092 +0.000280142, ltcy: 0.15 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:47.3102134 1613979167.310213327 1613979167.309932947 +0.000280142, ltcy: 0.15 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:48.3103858 1613979168.310385704 1613979168.310105085 +0.000280619, ltcy: 0.11 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:49.3105721 1613979169.310572147 1613979169.310291052 +0.000281096, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:50.3107647 1613979170.310764790 1613979170.310483456 +0.000281334, ltcy: 0.12 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:51.3109609 1613979171.310961008 1613979171.310679197 +0.000281572, ltcy: 0.15 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:52.3111683 1613979172.311168432 1613979172.310886383 +0.000282049, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:53.3113562 1613979173.311356306 1613979173.311073780 +0.000282526, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:54.3115420 1613979174.311542034 1613979174.311259270 +0.000282526, ltcy: 0.14 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:55.3117329 1613979175.311733007 1613979175.311450005 +0.000283003, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:56.3120532 1613979176.312053204 1613979176.311769724 +0.000283480, ltcy: 0.12 us, exec: 0.26 us, limit: 0.06 us, leap: 00
GNS181PEX: 2021-02-22 07:32:57.3122745 1613979177.312274456 1613979177.311990738 +0.000283480, ltcy: 0.14 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:58.3125165 1613979178.312516451 1613979178.312232494 +0.000283718, ltcy: 0.15 us, exec: 0.09 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:59.3128507 1613979179.312850714 1613979179.312566280 +0.000284195, ltcy: 0.14 us, exec: 0.07 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:00.3132264 1613979180.313226461 1613979180.312941790 +0.000284433, ltcy: 0.13 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:01.3134410 1613979181.313441038 1613979181.313156128 +0.000284910, ltcy: 0.09 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:02.3136222 1613979182.313622236 1613979182.313336849 +0.000285387, ltcy: 0.10 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:03.3138318 1613979183.313831806 1613979183.313546181 +0.000285625, ltcy: 0.09 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:04.3140110 1613979184.314011097 1613979184.313724995 +0.000286102, ltcy: 0.09 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:05.3142181 1613979185.314218283 1613979185.313931942 +0.000286341, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:06.3144244 1613979186.314424515 1613979186.314137697 +0.000286818, ltcy: 0.09 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:07.3146314 1613979187.314631462 1613979187.314344406 +0.000287056, ltcy: 0.10 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:08.3148150 1613979188.314815044 1613979188.314527750 +0.000287294, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:09.3150062 1613979189.315006256 1613979189.314718485 +0.000287533, ltcy: 0.18 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:10.3152065 1613979190.315206528 1613979190.314918518 +0.000288010, ltcy: 0.10 us, exec: 0.11 us, limit: 0.06 us, leap: 00
GNS181PEX: 2021-02-22 07:33:11.3154498 1613979191.315449953 1613979191.315161467 +0.000288486, ltcy: 0.10 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:12.3156549 1613979192.315654993 1613979192.315366268 +0.000288725, ltcy: 0.09 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:13.3158335 1613979193.315833569 1613979193.315544605 +0.000288963, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:14.3160284 1613979194.316028357 1613979194.315739155 +0.000288963, ltcy: 0.13 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:15.3163370 1613979195.316337109 1613979195.316047430 +0.000289679, ltcy: 0.09 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:16.3165386 1613979196.316538572 1613979196.316248655 +0.000289917, ltcy: 0.10 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:17.3167757 1613979197.316775799 1613979197.316485405 +0.000290394, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:18.3170157 1613979198.317015648 1613979198.316725016 +0.000290632, ltcy: 0.11 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:19.3172302 1613979199.317230225 1613979199.316939116 +0.000290871, ltcy: 0.12 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:20.3174242 1613979200.317424297 1613979200.317132711 +0.000291586, ltcy: 0.12 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:21.3176870 1613979201.317687035 1613979201.317395210 +0.000291586, ltcy: 0.17 us, exec: 0.07 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:22.3179862 1613979202.317986250 1613979202.317694187 +0.000292063, ltcy: 0.11 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:23.3181981 1613979203.318198204 1613979203.317905664 +0.000292540, ltcy: 0.11 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:24.3184134 1613979204.318413496 1613979204.318120718 +0.000292778, ltcy: 0.10 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:25.3186328 1613979205.318632841 1613979205.318339825 +0.000293016, ltcy: 0.09 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:26.3188384 1613979206.318838596 1613979206.318544865 +0.000293255, ltcy: 0.39 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:27.3190214 1613979207.319021463 1613979207.318727732 +0.000293493, ltcy: 0.13 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:28.3192437 1613979208.319243670 1613979208.318949461 +0.000294209, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:29.3194542 1613979209.319454193 1613979209.319159746 +0.000294447, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:30.3196865 1613979210.319686651 1613979210.319391727 +0.000294924, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:31.3198983 1613979211.319898367 1613979211.319603205 +0.000295162, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:32.3201077 1613979212.320107698 1613979212.319812298 +0.000295401, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:33.3202875 1613979213.320287466 1613979213.319991589 +0.000295877, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:34.3204944 1613979214.320494413 1613979214.320198298 +0.000296116, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:35.3206762 1613979215.320676327 1613979215.320379734 +0.000296593, ltcy: 0.11 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:36.3208511 1613979216.320851088 1613979216.320554018 +0.000296831, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:37.3210779 1613979217.321077824 1613979217.320780516 +0.000297308, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:38.3212578 1613979218.321257830 1613979218.320960283 +0.000297546, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:39.3214763 1613979219.321476221 1613979219.321178198 +0.000298023, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:40.3216791 1613979220.321679115 1613979220.321380854 +0.000298262, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:41.3218898 1613979221.321889877 1613979221.321591139 +0.000298738, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:42.3221310 1613979222.322131157 1613979222.321831942 +0.000299215, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:43.3223576 1613979223.322357655 1613979223.322058201 +0.000299454, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:44.3225435 1613979224.322543621 1613979224.322243690 +0.000299692, ltcy: 0.12 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:45.3228071 1613979225.322807312 1613979225.322507143 +0.000300169, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:46.3230436 1613979226.323043585 1613979226.322743177 +0.000300169, ltcy: 0.14 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:47.3232834 1613979227.323283434 1613979227.322982550 +0.000300884, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:48.3235437 1613979228.323543787 1613979228.323242426 +0.000301361, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:49.3237195 1613979229.323719501 1613979229.323417902 +0.000301600, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:50.3239548 1613979230.323954821 1613979230.323652983 +0.000301838, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:33:51.3241496 1613979231.324149609 1613979231.323847294 +0.000302076, ltcy: 0.14 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
